date,state,cases_avg,deaths_avg
2020-04-01,Northern Mariana Islands,0.86,0.14
2020-04-01,Guam,16.43,0.29
2020-04-01,Puerto Rico,33.57,1.29
2020-04-01,Virgin Islands,1.86,0
2020-04-01,Wyoming,12.71,0
2020-04-01,Wisconsin,132.71,3.71
2020-04-01,West Virginia,20,0.29
2020-04-01,Washington,429.14,17.14
2020-04-01,Virginia,160.14,3
2020-04-01,Vermont,28.29,1.14
2020-04-01,Utah,95.14,0.86
2020-04-01,Texas,467.14,7.43
2020-04-01,Tennessee,269,2.86
2020-04-01,South Dakota,12.57,0
2020-04-01,South Carolina,124,2.57
2020-04-01,Rhode Island,62,1.43
2020-04-01,Pennsylvania,664.86,9.43
2020-04-01,Oregon,67.29,1.29
2020-04-01,Oklahoma,79.29,3.57
2020-04-01,Ohio,263,7.71
2020-04-01,North Dakota,14.57,0.43
2020-04-01,North Carolina,147,1.43
2020-04-01,New York,7321,290.57
2020-04-01,New Mexico,35.71,0.71
2020-04-01,New Jersey,2550.43,41.86
2020-04-01,New Hampshire,39.71,0.43
2020-04-01,Nevada,124.86,3.14
2020-04-01,Nebraska,23.57,0.71
2020-04-01,Montana,22,0.71
2020-04-01,Missouri,170.86,1.86
2020-04-01,Mississippi,99.57,2.43
2020-04-01,Minnesota,57.14,2.29
2020-04-01,Michigan,999.86,41.86
2020-04-01,Massachusetts,842.86,15.29
2020-04-01,Maryland,223.14,4.14
2020-04-01,Maine,28.86,1
2020-04-01,Louisiana,661.29,30
2020-04-01,Kentucky,68,2.14
2020-04-01,Kansas,50.71,1.14
2020-04-01,Iowa,57.43,1.14
2020-04-01,Indiana,299.14,8.71
2020-04-01,Illinois,729.14,17.86
2020-04-01,Idaho,78,1.29
2020-04-01,Hawaii,23.29,0.14
2020-04-01,Georgia,480.29,15.29
2020-04-01,Florida,828.29,11
2020-04-01,District of Columbia,57.57,1.29
2020-04-01,Delaware,35.57,1.57
2020-04-01,Connecticut,383.14,9.43
2020-04-01,Colorado,322.86,8.71
2020-04-01,California,953.43,20.57
2020-04-01,Arkansas,45.29,1.14
2020-04-01,Arizona,144.43,3.29
2020-04-01,Alaska,12,0.29
2020-04-01,Alabama,103.14,3.86
2020-04-02,Northern Mariana Islands,1.14,0.14
2020-04-02,Guam,14.71,0.29
2020-04-02,Puerto Rico,36,1.43
2020-04-02,Virgin Islands,2.86,0
2020-04-02,Wyoming,14,0
2020-04-02,Wisconsin,139.43,3.86
2020-04-02,West Virginia,20.14,0.29
2020-04-02,Washington,482.57,17.14
2020-04-02,Virginia,157.57,2.17
2020-04-02,Vermont,25.71,1.14
2020-04-02,Utah,96.43,0.86
2020-04-02,Texas,487.14,8.43
2020-04-02,Tennessee,269.57,4.14
2020-04-02,South Dakota,17,0.14
2020-04-02,South Carolina,156.86,3.14
2020-04-02,Rhode Island,70.29,1.71
2020-04-02,Pennsylvania,761.57,10.71
2020-04-02,Oregon,73,1.43
2020-04-02,Oklahoma,90.14,3.86
2020-04-02,Ohio,290.86,9.43
2020-04-02,North Dakota,14.43,0.43
2020-04-02,North Carolina,174.14,2.14
2020-04-02,New York,7757.43,351.57
2020-04-02,New Mexico,38.14,0.86
2020-04-02,New Jersey,2673.43,65.29
2020-04-02,New Hampshire,45.86,0.57
2020-04-02,Nevada,131.86,4
2020-04-02,Nebraska,26,0.86
2020-04-02,Montana,21.57,0.71
2020-04-02,Missouri,189.43,2.86
2020-04-02,Mississippi,98.71,2.86
2020-04-02,Minnesota,56.57,2.29
2020-04-02,Michigan,1130.57,50.57
2020-04-02,Massachusetts,935.57,18.43
2020-04-02,Maryland,250,4.57
2020-04-02,Maine,31.57,1
2020-04-02,Louisiana,978.14,32.43
2020-04-02,Kentucky,71.29,4.14
2020-04-02,Kansas,54.43,1.57
2020-04-02,Iowa,62.14,1.43
2020-04-02,Indiana,342.14,10.14
2020-04-02,Illinois,736.71,19.86
2020-04-02,Idaho,100.29,0.86
2020-04-02,Hawaii,25.29,0.29
2020-04-02,Georgia,543.29,17.14
2020-04-02,Florida,931.71,16.43
2020-04-02,District of Columbia,60.29,1.29
2020-04-02,Delaware,35.71,1.57
2020-04-02,Connecticut,401.71,13
2020-04-02,Colorado,328,10.29
2020-04-02,California,1018.57,23.43
2020-04-02,Arkansas,47.57,1.29
2020-04-02,Arizona,156,3.86
2020-04-02,Alaska,11,0.29
2020-04-02,Alabama,104.57,4.14
2020-04-03,Northern Mariana Islands,1.14,0.14
2020-04-03,Guam,14.43,0.43
2020-04-03,Puerto Rico,42.71,1.71
2020-04-03,Virgin Islands,2.71,0
2020-04-03,Wyoming,13.29,0
2020-04-03,Wisconsin,140.86,4.86
2020-04-03,West Virginia,20.86,0.29
2020-04-03,Washington,456.71,16.29
2020-04-03,Virginia,200.86,6.83
2020-04-03,Vermont,29.29,1
2020-04-03,Utah,109.71,0.71
2020-04-03,Texas,543.14,10.43
2020-04-03,Tennessee,264.57,4.57
2020-04-03,South Dakota,18.43,0.14
2020-04-03,South Carolina,165.43,3
2020-04-03,Rhode Island,72.57,2
2020-04-03,Pennsylvania,886.14,11.29
2020-04-03,Oregon,69.14,1.43
2020-04-03,Oklahoma,95.29,4.29
2020-04-03,Ohio,309.71,9.86
2020-04-03,North Dakota,15,0.29
2020-04-03,North Carolina,187,2.86
2020-04-03,New York,8420.43,438.71
2020-04-03,New Mexico,43.43,1.29
2020-04-03,New Jersey,3010,77
2020-04-03,New Hampshire,50.43,0.71
2020-04-03,Nevada,132.57,4.71
2020-04-03,Nebraska,27.86,0.57
2020-04-03,Montana,20.14,0.57
2020-04-03,Missouri,206.14,3.86
2020-04-03,Mississippi,111.29,3
2020-04-03,Minnesota,55.86,2.57
2020-04-03,Michigan,1287.71,55
2020-04-03,Massachusetts,1023.14,22.43
2020-04-03,Maryland,281.14,5.29
2020-04-03,Maine,37.71,1.14
2020-04-03,Louisiana,1079,35.86
2020-04-03,Kentucky,65.71,3.71
2020-04-03,Kansas,58.86,2.14
2020-04-03,Iowa,66.14,1.14
2020-04-03,Indiana,351.86,12.29
2020-04-03,Illinois,839.29,25
2020-04-03,Idaho,111.43,0.86
2020-04-03,Hawaii,28.14,0.43
2020-04-03,Georgia,538.43,19.14
2020-04-03,Florida,1008.86,17.57
2020-04-03,District of Columbia,70,1.71
2020-04-03,Delaware,40.71,1.71
2020-04-03,Connecticut,517.71,15
2020-04-03,Colorado,349.57,11.29
2020-04-03,California,1093.43,25.43
2020-04-03,Arkansas,50.43,1.29
2020-04-03,Arizona,157.71,3.71
2020-04-03,Alaska,10.14,0.14
2020-04-03,Alabama,128,4.86
2020-04-04,Northern Mariana Islands,0.86,0.14
2020-04-04,Guam,23.71,0.43
2020-04-04,Puerto Rico,50.29,2.14
2020-04-04,Virgin Islands,3.29,0
2020-04-04,Wyoming,14.86,0
2020-04-04,Wisconsin,152.86,6.14
2020-04-04,West Virginia,24.14,0.29
2020-04-04,Washington,455.43,17.86
2020-04-04,Virginia,238.43,7.33
2020-04-04,Vermont,35.71,1.14
2020-04-04,Utah,116.86,0.86
2020-04-04,Texas,597.86,13.43
2020-04-04,Tennessee,271.71,5.86
2020-04-04,South Dakota,20.57,0.14
2020-04-04,South Carolina,179.43,3.57
2020-04-04,Rhode Island,81,2.14
2020-04-04,Pennsylvania,1042.14,15
2020-04-04,Oregon,74.29,1.86
2020-04-04,Oklahoma,111.71,3.86
2020-04-04,Ohio,333.29,11
2020-04-04,North Dakota,13.29,0.29
2020-04-04,North Carolina,204.29,3.71
2020-04-04,New York,8920.86,514.29
2020-04-04,New Mexico,47.71,1.29
2020-04-04,New Jersey,3285.71,101
2020-04-04,New Hampshire,58.14,1
2020-04-04,Nevada,145.71,4.57
2020-04-04,Nebraska,31,0.86
2020-04-04,Montana,19.14,0.71
2020-04-04,Missouri,207.71,4.71
2020-04-04,Mississippi,112.29,3.14
2020-04-04,Minnesota,60.43,2.71
2020-04-04,Michigan,1370.14,61.29
2020-04-04,Massachusetts,1068.43,24.57
2020-04-04,Maryland,294.14,6.29
2020-04-04,Maine,35,1.29
2020-04-04,Louisiana,1312.14,39.29
2020-04-04,Kentucky,73.57,4.43
2020-04-04,Kansas,61.43,2.14
2020-04-04,Iowa,69.71,1.14
2020-04-04,Indiana,390.86,14
2020-04-04,Illinois,972.86,28.29
2020-04-04,Idaho,116.29,0.71
2020-04-04,Hawaii,28.29,0.43
2020-04-04,Georgia,562.29,18.43
2020-04-04,Florida,1071.29,19.71
2020-04-04,District of Columbia,85.43,2.43
2020-04-04,Delaware,54.14,1.29
2020-04-04,Connecticut,536,18.86
2020-04-04,Colorado,359,11.71
2020-04-04,California,1175.71,28.71
2020-04-04,Arkansas,47.71,1.29
2020-04-04,Arizona,178,5.43
2020-04-04,Alaska,9.57,0.29
2020-04-04,Alabama,130.29,5.71
2020-04-05,Northern Mariana Islands,0.86,0.14
2020-04-05,Guam,29.57,0.43
2020-04-05,Puerto Rico,49.71,2.14
2020-04-05,Virgin Islands,2.71,0
2020-04-05,Wyoming,16,0
2020-04-05,Wisconsin,163.86,8
2020-04-05,West Virginia,28.71,0.29
2020-04-05,Washington,441.14,19.29
2020-04-05,Virginia,249.57,6.5
2020-04-05,Vermont,39.57,1.43
2020-04-05,Utah,128.43,0.86
2020-04-05,Texas,627.86,14.43
2020-04-05,Tennessee,281.29,6.14
2020-04-05,South Dakota,21.43,0.14
2020-04-05,South Carolina,182,4
2020-04-05,Rhode Island,89.71,3.14
